Year,Country Name,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (constant 2015 US$),GDP (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),"Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Official exchange rate (LCU per US$, period average)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)"
1960,Burundi,,,,,,,,,,,,,,,,,798536036.2874826,195999989.80792,,,,,,,,,,,,,,7000000.0,,21000000.0,,50.000000049,,,,,,,
1961,Burundi,,61.33177570093458,15750.0,2.0,0.02962962962962963,,,,,,,,,,,,688768194.2846754,202999991.80106,,,,,,,,,,,,,,8000000.0,,17000000.0,,50.000000049,,,,,,,
1962,Burundi,,61.915887850467286,15900.0,2.0,0.028571428571428574,,,,,,,,,,,,751192343.5309299,213500005.79077,,,,,,,,,,,,,,9000000.0,,19000000.0,,50.000000049,,,,,,,
1963,Burundi,,62.46105919003115,16040.0,2.0,0.027624309392265196,,,,,,,,,,,,782257207.45772,232749997.771905,,,,,,,,,,,,,,9000000.0,,18000000.0,,50.000000049,,,,,,,
1964,Burundi,,62.5,16050.0,2.0,0.026881720430107527,,,,,,,,,,,,831328498.5638349,260750007.744465,,,,,,,,,,,,,,9000000.0,,17000000.0,,50.000000049,,,,,,,
1965,Burundi,,63.2398753894081,16240.0,2.0,0.026455026455026457,18.430448489912074,3.9883229937899447,,,529175685.4899711,,,,,,,864309175.6561036,158994962.8119766,,,,,,,,5.864121032743739,69.63806850873212,,,,,9000000.0,,18000000.0,,84.375000080125,,,,,,,
1966,Burundi,,63.12305295950156,16210.0,2.0,0.02656042496679947,,,,4.457642574906288,552764446.1424242,,,,,,,904179696.5249385,165444571.26312685,,,,,,,,,,,,,,10000000.0,,20000000.0,,87.5000000875,,,,,,,
1967,Burundi,,64.8753894080997,16660.0,3.0,0.03807106598984771,,,,-4.063162217787536,530304730.01340264,,,,,,,1029151061.4764304,178297142.6788457,,,,,,,,,,,,,,14000000.0,,20000000.0,,87.5000000875,,,,,,,
1968,Burundi,,65.26479750778816,16760.0,3.0,0.0375,,,,-4.844583066423041,504613676.8627329,,,,,,,1026085388.4889266,183199999.8168,,,,,,,,,,,,,,15000000.0,,23000000.0,,87.5000000875,,,,,,,
1969,Burundi,,73.87071651090342,18970.0,3.0,0.03024193548387097,,,,-0.2813003936184941,503194196.60346526,,,,,,,1011109250.087199,190205714.09550858,,,,,,,,,,,,,,12000000.0,11700000.0,21000000.0,21700000.0,87.5000000875,,,,,,,
1970,Burundi,,73.20872274143302,18800.0,4.0,0.0425531914893617,,,65.33139351479112,39.73625363343888,703144718.8345633,158580571.26999086,,,,,,1226735079.51034,242732571.18583885,9.40435329180615,,172527829.0137851,22827428.548601143,,,,,,6.7281570311359715,,,16331428.555097144,24000000.0,24300000.0,22000000.0,22300000.0,87.5000000875,,,17.760168745379985,,,43109714.24260457,
1971,Burundi,,73.94859813084112,18990.0,4.0,0.04305705059203445,,,64.7617713131167,19.247970976469134,838485810.2384152,163745142.7070432,,,,,,1260431390.8962028,252842285.48251373,9.757409474907,5.627206720175465,182236326.60222167,24670857.1202422,,,,,,7.3342162477343305,,,18543999.98300134,19000000.0,18500000.0,30000000.0,29900000.0,87.5000000802083,,,18.98507030921591,,,48002285.67028364,
1972,Burundi,,74.22118380062305,19060.0,3.0,0.033482142857142856,,,60.77312761050965,-9.953984072768591,755023066.2348588,149990857.14285713,,,,,,1179713806.731132,246804571.42857143,10.793965381516433,-2.3258148503891647,177997847.0553035,26640000.0,,,,,,8.174426035174157,,,20174857.14285714,26000000.0,26000000.0,32000000.0,31300000.0,87.5,,,21.465219444881782,,,52977142.85714286,
1973,Burundi,,77.88161993769471,20000.0,4.0,0.043010752688172046,,,63.31363862189028,12.02237717330938,845794787.003099,192688626.19648615,,,,,,1260984889.2154527,304339839.55214554,11.625901761848647,1.8625870258837836,181313211.86090806,35382250.76850024,,,,,,9.326999273252829,,,28385774.623247445,30000000.0,29800000.0,31000000.0,31200000.0,80.0260833333333,,,18.22739385180106,,,55473221.20310899,
1974,Burundi,,79.04984423676012,20300.0,5.0,0.053763440860215055,8.315711772181386,5.231153932240034,61.03422276981924,-4.002401440887851,811942684.2611326,210728888.88888893,,,,,,1251819552.1603818,345263492.06349206,12.119384321153387,3.664027538911668,187956577.87517697,41843809.52380952,,,,1.688412965067845,60.033805275422694,9.493738391658544,,,32778412.698412698,31000000.0,29509000.0,43000000.0,43119000.0,78.75,,,19.507898269552584,,,67353650.79365079,
1975,Burundi,,80.21806853582555,20600.0,10.0,0.10752688172043011,4.691889140728747,5.174046745998955,61.30360423132958,4.610599431019608,849378109.0418817,258080000.0,,,,,,1260556254.1358075,420986666.6666666,12.582685573120742,0.6268300097176223,189134746.11053684,52971428.571428575,,,,2.7836872041434297,69.90605675608214,8.577883550962667,,,36111746.03174603,32000000.0,31917000.0,62000000.0,61659000.0,78.75,,,19.463874737200896,,,81940317.46031746,
1976,Burundi,,81.5809968847352,20950.0,15.0,0.16042780748663102,5.109952502837385,3.9867163400087495,59.475483250421455,3.6431242002586544,880322008.4840858,266695652.17391303,,,,,,1360677963.8153622,448412753.6231884,11.742287126767264,10.344288039080723,208699389.0301948,52653913.04347826,,,,1.1893655984772462,63.68529364085202,8.180092875094374,,,36680579.71014493,61000000.0,62839000.0,58000000.0,58283000.0,86.25,,,20.57860770097943,,,92277101.44927536,
1977,Burundi,,83.45015576323988,21430.0,20.0,0.21231422505307856,,,55.58015511930224,4.096030687814675,916380268.1031805,304321111.1111111,,,,,,1516740283.9540303,547535555.5555556,12.182039928406475,24.435829620741558,259696816.15314177,66701000.0,,,,,,7.882187255216302,,,43157777.777777776,90000000.0,89008000.0,74000000.0,72584000.0,90.0,,,19.2939474250277,,,105641222.22222222,
1978,Burundi,,82.55451713395638,21200.0,80.0,0.8556149732620321,,,53.964016948195834,-2.6767611083814273,891850957.481713,329302222.2222222,,,,,,1502474189.0366225,610225555.5555556,14.306731754924865,11.416161843668363,289344224.9880383,87303333.33333333,,,,,,8.25268616522488,,,50360000.0,69000000.0,69362000.0,98000000.0,98211000.0,90.0,,,20.610958061044823,,,125773333.33333333,
1979,Burundi,,81.77570093457945,21000.0,85.0,0.913978494623656,,,53.832249196659696,1.4792497375564437,905043660.4296559,421235555.5555556,,,,,,1527489707.4229972,782496666.6666666,14.715433647569673,0.8113832947765189,291691915.69399184,115147777.77777778,,,,,,9.304405982560096,,,72806666.66666667,104000000.0,104002000.0,152000000.0,152815000.0,90.0,,,20.2521274496022,,,158472222.2222222,
1980,Burundi,,81.30841121495327,20880.0,90.0,0.967741935483871,,,57.5719356233857,1.278106021677928,916611077.9524217,529504444.4444444,,,,,,1542627981.618825,919726666.6666666,11.670737924552464,10.131455479978186,321244552.2712242,107338888.8888889,,,,,,6.880909062354275,,,63285555.55555555,65000000.0,63506000.0,168000000.0,167316000.0,90.0,,,23.242533409684523,,,213767777.7777778,
1981,Burundi,,80.80218068535827,20750.0,95.0,1.021505376344086,,,58.14259604513944,14.107320465780845,1045920340.144018,563428888.8888888,,,,,,1730262074.0404027,969046666.6666666,12.715933873153684,9.575073764674784,352003955.1161932,123223333.33333333,,,,,,7.312341338910406,,,70860000.0,75000000.0,71369000.0,161000000.0,161371000.0,90.0,,,23.96089168965604,,,232192222.2222222,
1982,Burundi,,80.21806853582555,20600.0,100.0,1.0752688172043012,,,52.612676828599625,-7.587033790623636,966566010.5142858,533083333.3333333,,,,,,1712032035.939149,1013222222.2222222,14.294878824432503,9.246610916061556,384552391.2549355,144838888.8888889,,,,,,8.245750630551596,,,83547777.77777778,88000000.0,87584000.0,213000000.0,214439000.0,90.0,,,25.629016339510912,,,259678888.8888889,
1983,Burundi,,80.21806853582555,20600.0,110.0,1.1827956989247312,,,53.48218720817024,4.39181254740231,1009015777.8429781,579172673.4803658,,,,,,1775639624.2716591,1082926304.464766,14.481213614417134,3.2470620810321407,397039046.13307685,156820871.43625605,,,,,,8.351348129309146,,,90438945.66971488,80000000.0,77133000.0,182000000.0,187579000.0,92.9483333331667,,,25.461562916012635,,,275729962.3453469,
1984,Burundi,,80.21806853582555,20600.0,120.0,1.2903225806451613,,,54.659857325401326,-3.6151628967321727,972538213.8202252,539571464.3722329,,,,,,1778401525.2569034,987143931.166987,12.580920868910308,1.541064340844514,403157673.29226285,124191796.84236906,,,,,,7.8326323717324895,,,77319355.1081781,103000000.0,98807000.0,186000000.0,185694000.0,119.709166666167,,,23.660542772761506,,,233563612.06248435,
1985,Burundi,,80.21806853582555,20600.0,130.0,1.3978494623655915,,,55.95197094912494,13.128546315668714,1100218343.6591907,643436075.896926,,,,,,1987953781.278058,1149979285.7734692,11.821876058245852,9.308137707192571,440684144.69942015,135949125.8596404,,,,,,7.327420365873868,,,84263816.38909604,112000000.0,111739000.0,189000000.0,189707000.0,120.690749999417,13157594.9275953,89319189.7477816,23.14991606083968,,,266219239.3736018,
